"registry__name","label","reference"
"application","sgml","[RFC1874]"
"application","sgml-open-catalog","[Paul_Grosso]"
"application","shf+xml","[RFC4194]"
"application","sieve","[RFC5228]"
"application","simple-filter+xml","[RFC4661]"
"application","simple-message-summary","[RFC3842]"
"application","simpleSymbolContainer","[ThreeGPP]"
"application","slate","[Terry_Crowley]"
"application","smil","[RFC4536] - OBSOLETED in favor of application/smil+xml"
"application","smil+xml","[RFC4536]"
"application","smpte336m","[RFC6597]"
"application","soap+fastinfoset","[ITU-T_ASN.1_Rapporteur]"
"application","soap+xml","[RFC3902]"
"application","sparql-query","[W3C][http://www.w3.org/TR/2007/CR-rdf-sparql-query-20070614/#mediaType]"
"application","sparql-results+xml","[W3C][http://www.w3.org/TR/2007/CR-rdf-sparql-XMLres-20070925/#mime]"
"application","spirits-event+xml","[RFC3910]"
"application","sql","[RFC6922]"
"application","srgs","[RFC4267]"
"application","srgs+xml","[RFC4267]"
"application","sru+xml","[RFC6207]"
"application","ssml+xml","[RFC4267]"
"application","tamp-apex-update","[RFC5934]"
"application","tamp-apex-update-confirm","[RFC5934]"
"application","tamp-community-update","[RFC5934]"
"application","tamp-community-update-confirm","[RFC5934]"
"application","tamp-error","[RFC5934]"
"application","tamp-sequence-adjust","[RFC5934]"
"application","tamp-sequence-adjust-confirm","[RFC5934]"
"application","tamp-status-query","[RFC5934]"
"application","tamp-status-response","[RFC5934]"
"application","tamp-update","[RFC5934]"
"application","tamp-update-confirm","[RFC5934]"
"application","tei+xml","[RFC6129]"
"application","thraud+xml","[RFC5941]"
"application","timestamp-query","[RFC3161]"
"application","timestamp-reply","[RFC3161]"
"application","timestamped-data","[RFC5955]"
"application","ttml+xml","[W3C][W3C_Timed_Text_Working_Group]"
"application","tve-trigger","[Linda_Welsh]"
"application","ulpfec","[RFC5109]"
"application","urc-grpsheet+xml","[Gottfried_Zimmermann][ISO-IEC JTC1]"
"application","urc-ressheet+xml","[Gottfried_Zimmermann][ISO-IEC JTC1]"
"application","urc-targetdesc+xml","[Gottfried_Zimmermann][ISO-IEC JTC1]"
"application","urc-uisocketdesc+xml","[Gottfried_Zimmermann]"
"application","vcard+json","[RFC7095]"
"application","vcard+xml","[RFC6351]"
"application","vemmi","[RFC2122]"
"application","vnd.3gpp.bsf+xml","[John_M_Meredith]"
"application","vnd.3gpp.pic-bw-large","[John_M_Meredith]"
"application","vnd.3gpp.pic-bw-small","[John_M_Meredith]"
"application","vnd.3gpp.pic-bw-var","[John_M_Meredith]"
"application","vnd.3gpp.sms","[John_M_Meredith]"
"application","vnd.3gpp2.bcmcsinfo+xml","[Andy_Dryden]"
"application","vnd.3gpp2.sms","[AC_Mahendran]"
"application","vnd.3gpp2.tcap","[AC_Mahendran]"
"application","vnd.3M.Post-it-Notes","[Michael_OBrien]"
"application","vnd.accpac.simply.aso","[Steve_Leow]"
"application","vnd.accpac.simply.imp","[Steve_Leow]"
"application","vnd.acucobol","[Dovid_Lubin]"
"application","vnd.acucorp","[Dovid_Lubin]"
"application","vnd.adobe.flash.movie","[Henrik_Andersson]"
"application","vnd.adobe.formscentral.fcdt","[Chris_Solc]"
"application","vnd.adobe.fxp","[Robert_Brambley][Steven_Heintz]"
"application","vnd.adobe.partial-upload","[Tapani_Otala]"
"application","vnd.adobe.xdp+xml","[John_Brinkman]"
